model,params,train_exact_match,test_exact_match
DecisionTree,"{'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 5}",1.0,1.0
ANN,"{'hidden_layers': (5, 5), 'max_iter': 300, 'tol': 0.0001, 'scaled': True}",0.8826252723311547,0.7570806100217865
ANN,"{'hidden_layers': (10, 5), 'max_iter': 500, 'tol': 0.0001, 'scaled': True}",0.9302832244008714,0.7017429193899782
ANN,"{'hidden_layers': (20, 10, 5), 'max_iter': 800, 'tol': 0.0001, 'scaled': True}",0.9213507625272332,0.6494553376906318
ANN,"{'hidden_layers': (20, 10, 10), 'max_iter': 1000, 'tol': 0.0001, 'scaled': True}",0.930446623093682,0.6509803921568628
ANN,"{'hidden_layers': (10, 5), 'max_iter': 500, 'tol': 0.0001, 'scaled': False}",0.9302832244008714,0.7017429193899782
DecisionTree,"{'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 5}",1.0,1.0
ANN,"{'hidden_layers': (5, 5), 'max_iter': 300, 'tol': 0.0001, 'scaled': True}",0.8826252723311547,0.7570806100217865
ANN,"{'hidden_layers': (10, 5), 'max_iter': 500, 'tol': 0.0001, 'scaled': True}",0.9302832244008714,0.7017429193899782
ANN,"{'hidden_layers': (20, 10, 5), 'max_iter': 800, 'tol': 0.0001, 'scaled': True}",0.9213507625272332,0.6494553376906318
DecisionTree,"{'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 5}",1.0,1.0
ANN,"{'hidden_layers': (5, 5), 'max_iter': 300, 'tol': 0.0001, 'scaled': True}",0.8826252723311547,0.7570806100217865
ANN,"{'hidden_layers': (10, 5), 'max_iter': 500, 'tol': 0.0001, 'scaled': True}",0.9302832244008714,0.7017429193899782
ANN,"{'hidden_layers': (20, 10, 5), 'max_iter': 800, 'tol': 0.0001, 'scaled': True}",0.9213507625272332,0.6494553376906318
ANN,"{'hidden_layers': (20, 10, 10), 'max_iter': 1000, 'tol': 0.0001, 'scaled': True}",0.930446623093682,0.6509803921568628
ANN,"{'hidden_layers': (10, 5), 'max_iter': 500, 'tol': 0.0001, 'scaled': False}",0.9302832244008714,0.7017429193899782
