Weather Station,Accurate predictions,False positive,False negative,Accuracy rate
BASEL,4071,193,326,88.7%
BELGRADE,3909,248,433,85.2%
BUDAPEST,3982,236,372,86.8%
DEBILT,4139,130,321,90.2%
DUSSELDORF,4118,156,316,89.7%
HEATHROW,4033,178,379,87.9%
KASSEL,4200,94,296,91.5%
LJUBLJANA,4047,202,341,88.2%
MAASTRICHT,4150,142,298,90.4%
MADRID,4015,245,330,87.5%
MUNCHENB,4113,144,333,89.6%
OSLO,4171,118,301,90.9%
SONNBLICK,4590,0,0,100.0%
STOCKHOLM,4108,115,367,89.5%
VALENTIA,4421,14,155,96.3%
Average,,,,90.2%
